"FILENAME","FILEPATHINMUREX","DESTINATIONFILEPATH","OWNEROFREPORT","STREAMOWNER","PROCESSINGSCRIPT","PROCESSINGSCRIPT_DESC","PROCESSINGUNIT","BATCHNAME","BATCHTYPE","BATCHNAME_DESC","GLOBALFILTER","SINGLE_EXTFEED_NAME","SINGLE_EXTFEED_DESC","SINGLE_EXTREQ_NAME","SINGLE_EXTREQ_DESC","EXTRACTIONTYPE","EXTRACTIONVIEW","TABLENAME","LABELMODE","SCANNERTEMPLATE","LABELOFDATA","LABELOFDATA_VALUE","COMMANDBEFORE","COMMANDAFTER","EXTRACTION_PARAMETERS"
"","","","","","","","","MX_FXA_PL_BF","batchOfFeeders","Batch of feeders for FXC_PL_REP and REF_PL_REP feed","REF_PL_TODAY","REF_PL_FEED","Data feeder for REF_PL_REP table","","","                    ","","Table:REF_PL.REP","One data set per day","","REF_PL              ","lastSnapshot","","",""
"","","","","","","","","REF_PL_OPENING","batchOfFeeders","Batch of feeders for REF_PL_REP feed and Opening data","REF_PL_OPENING","REF_PL_FEED","Data feeder for REF_PL_REP table","","","                    ","","Table:REF_PL.REP","One data set per day","","REF_PL_OPENING      ","lastSnapshot","","",""
"","","","","","","","","REF_PL_BF","batchOfFeeders","Batch of feeders for REF_PL_REP feed","REF_PL_TODAY","REF_PL_FEED","Data feeder for REF_PL_REP table","","","                    ","","Table:REF_PL.REP","One data set per day","","REF_PL              ","lastSnapshot","","",""
"","","","","","","","","MX_FXA_DETPL_BF","batchOfFeeders","Batch of feeders for FXC_DETPL_REP and REF_DTEPL_REP feed","REF_DETPL_TODAY","REF_DETPL_FEED","Data feeder for REF_PL_REP table","","","                    ","","Table:REF_DETPL.REP","One data set per day","","REF_PL              ","lastSnapshot","","",""
"","","","","","","","","REF_DETPL_BF","batchOfFeeders","Batch of feeders for REF_DETPL_REP feed","REF_DETPL_TODAY","REF_DETPL_FEED","Data feeder for REF_PL_REP table","","","                    ","","Table:REF_DETPL.REP","One data set per day","","REF_DETPL           ","lastSnapshot","","",""
"","","","","","","","","MX_ACG_DETPL_BF","batchOfFeeders","Batch of feeders for ACG_DETPL_REP feed","REF_DETPL_TODAY","MX_ACG_DETPL_FEED","Data feeder for ACG_DETPL_REP table","","","                    ","","Table:ACG_DETPL.REP","One data set per day","","REF_PL              ","lastSnapshot","","",""
"","","","","","","","","MX_ACG_PL_BF","batchOfFeeders","Batch of feeders forACG_PL_REP feed","REF_PL_TODAY","MX_ACG_PL_FEED","Data feeder for ACG_PL_REP table","","","                    ","","Table:ACG_PL.REP","One data set per day","","REF_PL              ","lastSnapshot","","",""
"","","","","","","","","MX_FXA_DETPL_BF","batchOfFeeders","Batch of feeders for FXC_DETPL_REP and REF_DTEPL_REP feed","REF_DETPL_TODAY","MX_FXC_DETPL_FEED","Data feeder for FXC_DETPL_REP table","","","                    ","","Table:FXC_DETPL.REP","One data set per day","","REF_PL              ","lastSnapshot","","",""
"","","","","","FXCASH_DET_PL_FEED","Store FX Cash PL in detailed mode","REP_BATCHES_FEED    ","MX_FXC_DETPL_BF","batchOfFeeders","Batch of feeders for FXC_DETPL_REP feed","FXC_PL_TODAY","MX_FXC_DETPL_FEED","Data feeder for FXC_DETPL_REP table","","","                    ","","Table:FXC_DETPL.REP","One data set per day","8EngineBatch500                 ","REF_PL              ","lastSnapshot","","",""
"","","","","","","","","MX_FXA_PL_BF","batchOfFeeders","Batch of feeders for FXC_PL_REP and REF_PL_REP feed","REF_PL_TODAY","MX_FXC_PL_FEED","Data feeder for FXC_PL_REP table","","","                    ","","Table:FXC_PL.REP","One data set per day","","REF_PL              ","lastSnapshot","","",""
