"PROCESSING_SCRIPT","PROCESS_UNIT_NAME","PROCESS_UNIT_LABEL","M_PROCESSS_UNIT_DESC","PROCESSING_SCRIPTDESC","PERIOD","SIDE","DAY","SHIFTER"
"1PS_BE_SAMA_RECON   ","1BE_SAME_RECON      ","REP_BATCHES_EXT     ","","",1,0,7,"               "
"ACCUNDO_EOD         ","                    ","ACGBALREVERT        ","","Accounting Undo EOD",1,0,7,"               "
"ACCUNDO_EOD         ","                    ","ACGREVERT           ","","Accounting Undo EOD",1,0,7,"               "
"ACCUNDO_HEDGE       ","                    ","ACGHDGREVERT        ","","Undo hedge accounting entries",1,0,7,"               "
"ACC_BALANCES        ","                    ","ACCEOD-BAL          ","","Compute balances for entity set 1",1,0,7,"               "
"ACC_BALANCES2       ","                    ","ACCEOD-BAL          ","","Compute balances for entity set 2",1,0,7,"               "
"ACC_BALANCE_UNDO    ","                    ","ACGBALUNDO          ","","",1,0,7,"               "
"ACC_BAL_UNDO        ","                    ","ACGBALREVERT        ","","Accounting Balances Undo",1,0,7,"               "
"ACC_ENTRIES_ALL_PS  ","ACC_BAL_DETL_BE     ","REP_BATCHES_EXT     ","","Populate the accounting entries and feed to datamart table for all 4 FAH recon reports",1,0,7,"               "
"ACC_ENTRIES_ALL_PS  ","ACC_BAL_SUM_BE      ","REP_BATCHES_EXT     ","","Populate the accounting entries and feed to datamart table for all 4 FAH recon reports",1,0,7,"               "
"ACC_ENTRIES_ALL_PS  ","ACC_CNT_BAL_BE      ","REP_BATCHES_EXT     ","","Populate the accounting entries and feed to datamart table for all 4 FAH recon reports",1,0,7,"               "
"ACC_ENTRIES_ALL_PS  ","ACC_CTL_BDP_BE      ","REP_BATCHES_EXT     ","","Populate the accounting entries and feed to datamart table for all 4 FAH recon reports",1,0,7,"               "
"ACC_ENTRIES_ALL_PS  ","ACC_CTL_BSP_BE      ","REP_BATCHES_EXT     ","","Populate the accounting entries and feed to datamart table for all 4 FAH recon reports",1,0,7,"               "
"ACC_ENTRIES_ALL_PS  ","ACC_CTL_CBP_BE      ","REP_BATCHES_EXT     ","","Populate the accounting entries and feed to datamart table for all 4 FAH recon reports",1,0,7,"               "
"ACC_ENTRIES_ALL_PS  ","ACC_CTL_END_BE      ","REP_BATCHES_EXT     ","","Populate the accounting entries and feed to datamart table for all 4 FAH recon reports",1,0,7,"               "
"ACC_ENTRIES_ALL_PS  ","ACC_CTL_END_BE      ","REP_BATCHES_EXT     ","","Populate the accounting entries and feed to datamart table for all 4 FAH recon reports",1,0,7,"               "
"ACC_ENTRIES_ALL_PS  ","ACC_CTL_END_BE      ","REP_BATCHES_EXT     ","","Populate the accounting entries and feed to datamart table for all 4 FAH recon reports",1,0,7,"               "
"ACC_ENTRIES_ALL_PS  ","ACC_CTL_END_BE      ","REP_BATCHES_EXT     ","","Populate the accounting entries and feed to datamart table for all 4 FAH recon reports",1,0,7,"               "
"ACC_ENTRIES_ALL_PS  ","ACC_CTL_ESP_BE      ","REP_BATCHES_EXT     ","","Populate the accounting entries and feed to datamart table for all 4 FAH recon reports",1,0,7,"               "
"ACC_ENTRIES_ALL_PS  ","ACC_CTL_HBDP_BE     ","REP_BATCHES_EXT     ","","Populate the accounting entries and feed to datamart table for all 4 FAH recon reports",1,0,7,"               "
"ACC_ENTRIES_ALL_PS  ","ACC_CTL_HBDS_BE     ","REP_BATCHES_EXT     ","","Populate the accounting entries and feed to datamart table for all 4 FAH recon reports",1,0,7,"               "
"ACC_ENTRIES_ALL_PS  ","ACC_CTL_HBSP_BE     ","REP_BATCHES_EXT     ","","Populate the accounting entries and feed to datamart table for all 4 FAH recon reports",1,0,7,"               "
"ACC_ENTRIES_ALL_PS  ","ACC_CTL_HBSS_BE     ","REP_BATCHES_EXT     ","","Populate the accounting entries and feed to datamart table for all 4 FAH recon reports",1,0,7,"               "
"ACC_ENTRIES_ALL_PS  ","ACC_CTL_HCBP_BE     ","REP_BATCHES_EXT     ","","Populate the accounting entries and feed to datamart table for all 4 FAH recon reports",1,0,7,"               "
"ACC_ENTRIES_ALL_PS  ","ACC_CTL_HCBS_BE     ","REP_BATCHES_EXT     ","","Populate the accounting entries and feed to datamart table for all 4 FAH recon reports",1,0,7,"               "
"ACC_ENTRIES_ALL_PS  ","ACC_CTL_HESP_BE     ","REP_BATCHES_EXT     ","","Populate the accounting entries and feed to datamart table for all 4 FAH recon reports",1,0,7,"               "
"ACC_ENTRIES_ALL_PS  ","ACC_CTL_HESS_BE     ","REP_BATCHES_EXT     ","","Populate the accounting entries and feed to datamart table for all 4 FAH recon reports",1,0,7,"               "
"ACC_ENTRIES_ALL_PS  ","ACC_ENTRYALL_BF     ","REP_BATCHES_FEED    ","","Populate the accounting entries and feed to datamart table for all 4 FAH recon reports",1,0,7,"               "
"ACC_ENTRIES_ALL_PS  ","ACC_ENT_SUM_BE      ","REP_BATCHES_EXT     ","","Populate the accounting entries and feed to datamart table for all 4 FAH recon reports",1,0,7,"               "
"ACC_ENTRIES_PS      ","ACC_CTL_END_BE      ","REP_BATCHES_EXT     ","","Populate the accounting entries and feed to datamart table",1,0,7,"               "
"ACC_ENTRIES_PS      ","ACC_CTL_HSTP_BE     ","REP_BATCHES_EXT     ","","Populate the accounting entries and feed to datamart table",1,0,7,"               "
"ACC_ENTRIES_PS      ","ACC_CTL_HSTS_BE     ","REP_BATCHES_EXT     ","","Populate the accounting entries and feed to datamart table",1,0,7,"               "
"ACC_ENTRIES_PS      ","ACC_CTL_STRT_BE     ","REP_BATCHES_EXT     ","","Populate the accounting entries and feed to datamart table",1,0,7,"               "
"ACC_ENTRIES_PS      ","ACC_DLV_CASH_BF     ","REP_BATCHES_FEED    ","","Populate the accounting entries and feed to datamart table",1,0,7,"               "
"ACC_ENTRIES_PS      ","ACC_ENTRIES_BE      ","REP_BATCHES_EXT     ","","Populate the accounting entries and feed to datamart table",1,0,7,"               "
"ACC_ENTRIES_PS      ","ACC_ENTRIES_BF      ","REP_BATCHES_FEED    ","","Populate the accounting entries and feed to datamart table",1,0,7,"               "
"ACC_ENTRIES_PS      ","ACC_FXCONV_BF       ","REP_BATCHES_FEED    ","","Populate the accounting entries and feed to datamart table",1,0,7,"               "
"ACC_ENTRIES_PS      ","ACC_LIVEDEAL_BF     ","REP_BATCHES_FEED    ","","Populate the accounting entries and feed to datamart table",1,0,7,"               "
"ACC_ENTRIES_PS      ","ACC_RULES_BF        ","REP_BATCHES_FEED    ","","Populate the accounting entries and feed to datamart table",1,0,7,"               "
"ACC_ENTRIES_PS      ","ACC_SECURITY_BF     ","REP_BATCHES_FEED    ","","Populate the accounting entries and feed to datamart table",1,0,7,"               "
"ACC_ENTRIES_PS_0817 ","ACC_CTL_HSTP_BE     ","REP_BATCHES_EXT     ","","",1,0,7,"               "
"ACC_ENTRIES_PS_0817 ","ACC_CTL_STRT_BE     ","REP_BATCHES_EXT     ","","",1,0,7,"               "
"ACC_ENTRIES_PS_0817 ","ACC_DLV_CASH_BF     ","REP_BATCHES_FEED    ","","",1,0,7,"               "
"ACC_ENTRIES_PS_0817 ","ACC_ENTRIES_BF      ","REP_BATCHES_FEED    ","","",1,0,7,"               "
"ACC_ENTRIES_PS_0817 ","ACC_LIVEDEAL_BF     ","REP_BATCHES_FEED    ","","",1,0,7,"               "
"ACC_ENTRIES_PS_0817 ","ACC_RULES_BF        ","REP_BATCHES_FEED    ","","",1,0,7,"               "
"ACC_ENTRIES_PS_0817 ","ACC_SECURITY_BF     ","REP_BATCHES_FEED    ","","",1,0,7,"               "
"ACC_ENTRIES_PS_FAH  ","ACC_ENTRIES_BE      ","REP_BATCHES_EXT     ","","Re-generate the table MX_ACCOUNTING_ENTRIES_REP",1,0,7,"               "
"ACC_ENTRIES_PS_TST  ","ACC_CTL_END_BE      ","REP_BATCHES_EXT     ","","",1,0,7,"               "
"ACC_ENTRIES_PS_TST  ","ACC_CTL_HSTS_BE     ","REP_BATCHES_EXT     ","","",1,0,7,"               "
"ACC_ENTRIES_PS_TST  ","ACC_DLV_CASH_BF     ","REP_BATCHES_FEED    ","","",1,0,7,"               "
"ACC_ENTRIES_PS_TST  ","ACC_ENTRIES_BE      ","REP_BATCHES_EXT     ","","",1,0,7,"               "
"ACC_ENTRIES_PS_TST  ","ACC_SECURITY_BF     ","REP_BATCHES_FEED    ","","",1,0,7,"               "
"ACC_EOD             ","                    ","ACCCOPY-FX          ","","Accounting EOD",1,0,7,"               "
"ACC_EOD             ","                    ","ACGBEGEN            ","","Accounting EOD",1,0,7,"               "
"ACC_EOD             ","                    ","ACGDLV              ","","Accounting EOD",1,0,7,"               "
"ACC_EOD             ","                    ","ACGPOS              ","","Accounting EOD",1,0,7,"               "
"ACC_EOD             ","                    ","ACGTRDINTR          ","","Accounting EOD",1,0,7,"               "
"ACC_EOD             ","                    ","ACGTRDREVAL         ","","Accounting EOD",1,0,7,"               "
"ACC_EOD2            ","                    ","ACCCOPY-FX          ","","Accounting EOD for Entity Set 2",1,0,7,"               "
"ACC_EOD2            ","                    ","ACGBEGEN            ","","Accounting EOD for Entity Set 2",1,0,7,"               "
"ACC_EOD2            ","                    ","ACGDLV              ","","Accounting EOD for Entity Set 2",1,0,7,"               "
"ACC_EOD2            ","                    ","ACGPOS              ","","Accounting EOD for Entity Set 2",1,0,7,"               "
"ACC_EOD2            ","                    ","ACGTRDINTR          ","","Accounting EOD for Entity Set 2",1,0,7,"               "
