"DYNAMIC_TABLE","M_DBFHISTO","FIELD_NAME"
"BIM_CRIF_Extraction ","His1_60             ","AMOUNT    "
"BIM_CRIF_Extraction ","His1_60             ","AMOUNTCUR "
"BIM_CRIF_Extraction ","His1_60             ","AMOUNTUSD "
"BIM_CRIF_Extraction ","His1_60             ","BUCKET    "
"BIM_CRIF_Extraction ","His1_60             ","COLLECTRE "
"BIM_CRIF_Extraction ","His1_60             ","ENDDATE   "
"BIM_CRIF_Extraction ","His1_60             ","IMMODEL   "
"BIM_CRIF_Extraction ","His1_60             ","LABEL1    "
"BIM_CRIF_Extraction ","His1_60             ","LABEL2    "
"BIM_CRIF_Extraction ","His1_60             ","PORTFOLIO "
"BIM_CRIF_Extraction ","His1_60             ","POSTREGUL "
"BIM_CRIF_Extraction ","His1_60             ","PRODUCTCL "
"BIM_CRIF_Extraction ","His1_60             ","QUALIFIER "
"BIM_CRIF_Extraction ","His1_60             ","RISKTYPE  "
"BIM_CRIF_Extraction ","His1_60             ","TRADEID   "
"BIM_CRIF_Extraction ","His1_60             ","VALUATION "
"BIM_CR_VOL          ","His1_58             ","OPT_MATUR "
"BIM_CR_VOL          ","His1_58             ","VOLATILIT "
"BIM_CR_VOL          ","His1_58             ","VOLMAPPIN "
"BIM_CR_VOL          ","His1_58             ","VOL_GROUP "
"BIM_CR_VOL_ATM      ","His1_59             ","OPT_MATUR "
"BIM_CR_VOL_ATM      ","His1_59             ","VOLATILIT "
"BIM_CR_VOL_ATM      ","His1_59             ","VOLMAPPIN "
"BIM_CR_VOL_ATM      ","His1_59             ","VOL_GROUP "
"BIM_IM_EXPOSURE     ","His1_706            ","ADDITIONA "
"BIM_IM_EXPOSURE     ","His1_706            ","AGREEMEN1 "
"BIM_IM_EXPOSURE     ","His1_706            ","AGREEMENT "
"BIM_IM_EXPOSURE     ","His1_706            ","BIM_CALCU "
"BIM_IM_EXPOSURE     ","His1_706            ","BIM_DIREC "
"BIM_IM_EXPOSURE     ","His1_706            ","INITIAL_1 "
"BIM_IM_EXPOSURE     ","His1_706            ","INITIAL_M "
"BIM_IM_EXPOSURE     ","His1_706            ","MX_IS_TOT "
"BIM_IM_EXPOSURE     ","His1_706            ","MX_TOT_KEY"
"BIM_IM_EXPOSURE     ","His1_706            ","MX_TOT_REF"
"BIM_IM_EXPOSURE     ","His1_706            ","SCHEDULE_ "
"BIM_IM_EXPOSURE     ","His1_706            ","SIMM      "
"BIM_IM_Extraction   ","His1_61             ","ADDITIONA "
"BIM_IM_Extraction   ","His1_61             ","AGREEMENT "
"BIM_IM_Extraction   ","His1_61             ","BASE_CURR "
"BIM_IM_Extraction   ","His1_61             ","IM_EXPOSU "
