"M_REFERENCE","M_OSUSER","M_HOSTNAME","M_HOSTIP","M_DATE","M_FS","M_USER","M_GROUP","M_OPERATION","M_TEMPLATE_NAME","M_BIN_BUILDID","M_ZIP_BUILDID"
3559,"RamiBouDiab","CPC-RamBo-NDXLI","10.189.150.194,172.21.192.1",12-MAR-26,"d2tmsapmodlv1:15008","RAMI","CONFIG","EXPORT","CTT1","7667071-250523-1102-6894108","7667071-250523-1102-6894108"
3558,"RamiBouDiab","CPC-RamBo-NDXLI","10.189.150.194,172.21.192.1",12-MAR-26,"d2tmsapmodlv1:15008","RAMI","CONFIG","EXPORT","NOS_BCUR","7667071-250523-1102-6894108","7667071-250523-1102-6894108"
3556,"RamiBouDiab","CPC-RamBo-NDXLI","10.189.150.194,172.21.192.1",12-MAR-26,"d2tmsapmodlv1:15008","RAMI","CONFIG","EXPORT","Lookup_Tables_FX","7667071-250523-1102-6894108","7667071-250523-1102-6894108"
3557,"RamiBouDiab","CPC-RamBo-NDXLI","10.189.150.194,172.21.192.1",12-MAR-26,"d2tmsapmodlv1:15008","RAMI","CONFIG","EXPORT","CTT1","7667071-250523-1102-6894108","7667071-250523-1102-6894108"
3555,"AyaObeid","CPC-AyaOb-D6IX4","10.189.150.192,172.20.224.1",12-MAR-26,"d2tmsapmodlv1:15008","AYAOBEID","CONFIG","EXPORT","CR766814_ACC_CTT","7667071-250523-1102-6894108","7667071-250523-1102-6894108"
3554,"OmarBekdach","CPC-OmaBe-ONDQA","10.189.150.197,172.31.160.1",04-MAR-26,"d2tmsapmodlv1:15008","OMAR","CONFIG","EXPORT","CD_CommodityConfirmation_Fixed_04032026","7667071-250523-1102-6894108","7667071-250523-1102-6894108"
3553,"OmarBekdach","CPC-OmaBe-ONDQA","10.189.150.197,172.31.160.1",04-MAR-26,"d2tmsapmodlv1:15008","OMAR","CONFIG","EXPORT","CD_Exchange_CDEmails_Sheet_04032026","7667071-250523-1102-6894108","7667071-250523-1102-6894108"
3552,"OmarBekdach","CPC-OmaBe-ONDQA","10.189.150.197,172.31.160.1",04-MAR-26,"d2tmsapmodlv1:15008","OMAR","CONFIG","EXPORT","CD_Exchange_CDEmails_Sheet_04032026","7667071-250523-1102-6894108","7667071-250523-1102-6894108"
3551,"OmarBekdach","CPC-OmaBe-ONDQA","10.189.150.197,172.31.160.1",04-MAR-26,"d2tmsapmodlv1:15008","OMAR","CONFIG","EXPORT","CD_NewFormulas_04032026","7667071-250523-1102-6894108","7667071-250523-1102-6894108"
3549,"OmarBekdach","CPC-OmaBe-ONDQA","10.189.150.197,172.31.160.1",04-MAR-26,"d2tmsapmodlv1:15008","OMAR","CONFIG","EXPORT","CD_NewFormulas_04032026","7667071-250523-1102-6894108","7667071-250523-1102-6894108"
3550,"OmarBekdach","CPC-OmaBe-ONDQA","10.189.150.197,172.31.160.1",04-MAR-26,"d2tmsapmodlv1:15008","OMAR","CONFIG","EXPORT","CD_NewFormulas_04032026","7667071-250523-1102-6894108","7667071-250523-1102-6894108"
